,name_muni_IBGE,Population,Bovino (bovines),Suíno (pigs) - total,Galináceos (chicken) - total,Manure generated (kg/day),Municipality-specific biogas yield (m3/kg manure),Municipality-specific CH4 yield (m3 CH4/kg manure)
4103222,Bom Sucesso do Sul,3254,2948,4230,1137450,382050.8,0.126747292,0.073550986
4103305,Borrazópolis,6439,15659,1227,385403,380977.72,0.05854442,0.034155816
4103354,Braganey,5382,19953,896,433480,467289.84,0.055467813,0.032379158
4103370,Brasilândia do Sul,2585,3433,475,1280,60850,0.025612237,0.015129693
4103404,Cafeara,2954,11442,530,570000,358013.6,0.078002959,0.04539727
4103453,Cafelândia,18456,4814,65639,5491127,1819858.92,0.132323405,0.07676045
4103479,Cafezal do Sul,4009,29582,650,445598,635553.84,0.047609371,0.02783998
4103503,Califórnia,8606,7264,1265,1149324,450597.12,0.110841401,0.064366476
4103602,Cambará,25466,5563,830,530000,246606.8,0.097274388,0.05652894
4103701,Cambé,107341,2602,3100,750230,264242.8,0.122161178,0.07090141
4103800,Cambira,7917,8248,1197,1080000,447904.48,0.10607418,0.061612652
4103909,Campina da Lagoa,14043,57101,9760,895662,1262592.96,0.049020615,0.028652077
4103958,Campina do Simão,3859,12792,5047,26883,242892.52,0.030847904,0.018148117
4104006,Campina Grande do Sul,43685,2533,725,14622,49865.76,0.036007942,0.021131843
4104055,Campo Bonito,3763,26209,2703,660000,643811.92,0.059169459,0.034516425
4104105,Campo do Tenente,8045,2940,840,215000,113321.6,0.08938471,0.051969406
4104204,Campo Largo,133865,10351,13363,125326,253752,0.049258206,0.028768302
4104253,Campo Magro,29740,2195,1239,240000,108720.56,0.100611791,0.058453104
4104303,Campo Mourão,95488,10712,1800,1663035,655368.2,0.110385065,0.064102892
4104402,Cândido de Abreu,14809,96479,5581,250000,1746405.04,0.028990534,0.017083395
4104428,Candói,16053,77816,7140,71070,1380040.4,0.026205279,0.015473508
4104451,Cantagalo,13329,34900,5945,54500,633612.8,0.028088791,0.016559589
4104501,Capanema,19148,31592,49413,3214578,1593679.76,0.097436524,0.056609668
4104600,Capitão Leônidas Marques,15834,27074,5251,2514040,1185567.04,0.096479328,0.056069159
4104659,Carambeí,23825,49581,94000,2557000,1854513.2,0.079034697,0.045970251
4104709,Carlópolis,14356,33396,5600,395000,702035.2,0.044069548,0.025791872
4104808,Cascavel,332333,77170,158000,16962000,6557004,0.115659159,0.067139595
4104907,Castro,71809,125674,260000,4550000,4225992.8,0.070580427,0.04108139
4105003,Catanduvas,10167,40731,33528,980000,1076898.32,0.059790248,0.034862434
4105102,Centenário do Sul,10764,12938,1535,520860,373040.8,0.071782493,0.041802653
4105201,Cerro Azul,17833,28700,15950,115000,574328,0.03507315,0.020585648
4105300,Céu Azul,11819,16486,27650,2766556,1142250.88,0.110069324,0.063910456
4105409,Chopinzinho,19167,56598,22561,2780394,1820581.36,0.07763248,0.045178149
4105508,Cianorte,83816,51110,3316,11963268,4238887.68,0.119741375,0.069508683
4105607,Cidade Gaúcha,12797,33629,900,245808,649981.04,0.03668223,0.021527515
4105706,Clevelândia,16450,13191,22995,120100,330418,0.047673467,0.02784492
4105805,Colombo,246540,599,810,58100,29033.2,0.096371423,0.055995843
4105904,Colorado,24145,22980,1280,853500,638127.2,0.069428306,0.040443694
4106001,Congonhinhas,8857,26542,1850,300000,546146.4,0.042842233,0.025085035
4106100,Conselheiro Mairinck,3876,20543,2100,595000,526323.6,0.062718519,0.036566713
4106209,Contenda,18837,2222,3079,120546,81331.44,0.080390052,0.046759204
4106308,Corbélia,17117,10816,15630,3985000,1349350.4,0.126018602,0.073129803
4106407,Cornélio Procópio,47842,22205,919,84636,408417.84,0.031011492,0.018251287
4106456,Coronel Domingos Soares,7518,46294,6120,104700,844177.6,0.029022776,0.017100123
4106506,Coronel Vivida,20580,37284,5824,350196,757044.64,0.040616951,0.023797539
4106555,Corumbataí do Sul,3127,17104,1610,255000,370483.2,0.047732745,0.027909695
4106571,Cruzeiro do Iguaçu,4240,14676,16349,1382870,689331.76,0.095835137,0.055688003
4106605,Cruzeiro do Oeste,20947,58127,2300,330678,1099366.24,0.03416829,0.020074953
4106704,Cruzeiro do Sul,4449,12950,770,1252969,575912.12,0.097832752,0.05685244
4106803,Cruz Machado,18741,15000,19500,120000,350880,0.044580711,0.026064884
4106852,Cruzmaltina,2921,13117,515,423000,345618,0.065475703,0.038160629
4106902,Curitiba,1948626,1180,60,0,20478.4,0.024075006,0.01424396
4107009,Curiúva,15196,37490,6130,59968,680254.24,0.02809906,0.016565695
4107108,Diamante do Norte,5030,20877,870,256737,433615.56,0.044065211,0.02579216
4107124,Diamante do Sul,3424,38100,5065,19142,676077.36,0.025806916,0.0152423
4107157,Diamante D'Oeste,5266,34442,8605,280000,696961.6,0.03933085,0.023052417
4107207,Dois Vizinhos,41038,34203,45322,9467000,3376830.48,0.121232779,0.070364311
4107256,Douradina,8869,40896,1600,530955,856942.6,0.044977707,0.026319348
4107306,Doutor Camargo,5983,1192,2400,360000,128598.4,0.121976161,0.070791289
4107405,Enéas Marques,5933,24240,51500,2269920,1209065.6,0.094636961,0.054987018
4107504,Engenheiro Beltrão,13981,6266,6747,582440,291369.28,0.09549813,0.055493586
4107520,Esperança Nova,1665,25268,1600,651615,621925.8,0.059664306,0.034803045
4107538,Entre Rios do Oeste,4596,5663,243800,390750,947965.6,0.0809347,0.046971202
4107546,Espigão Alto do Iguaçu,4048,22100,13726,563140,579526.24,0.060634783,0.035353783
4107553,Farol,3041,7999,1101,156000,184609.84,0.053338319,0.031147117
4107603,Faxinal,17316,36104,1172,85000,648351.68,0.028346699,0.016712119
4107652,Fazenda Rio Grande,102004,737,840,600500,183370,0.135778893,0.07877132
4107702,Fênix,4748,3154,1265,110884,89141.92,0.068296262,0.039784042
4107736,Fernandes Pinheiro,5602,5278,1540,940620,358836.8,0.113494805,0.065898577
4107751,Figueira,7696,6890,2700,28000,134556,0.034042332,0.01999378
4107801,Floraí,4906,3244,324,934240,318368.96,0.123598359,0.071736642
4107850,Flor da Serra do Sul,4603,15148,7290,1096650,589769.2,0.088932232,0.051705707
4107900,Floresta,6851,600,400,157600,55664,0.121126703,0.070305951
4108007,Florestópolis,10453,3305,298,260450,130677.92,0.091780144,0.053355581
4108106,Flórida,2699,6467,430,76000,133819.6,0.04344664,0.025434265
4108205,Formosa do Oeste,6460,11599,68959,3803752,1474188.72,0.119255141,0.069206277
4108304,Foz do Iguaçu,258248,3102,2902,28500,70156.48,0.04437243,0.025951215
4108320,Francisco Alves,5993,19534,3500,998027,626072.36,0.078763086,0.045834451
4108403,Francisco Beltrão,92216,46928,53300,3678550,1999187.6,0.090680161,0.052708744
4108452,Foz do Jordão,4556,6221,724,8652,111624.72,0.027311396,0.016111865
4108502,General Carneiro,13685,12500,1400,13800,223120,0.026742965,0.015783598
4108551,Godoy Moreira,2898,10624,637,150000,226669.28,0.04657127,0.027239463
4108601,Goioerê,28808,11762,2243,1060400,506037.12,0.09562792,0.055577324
4108650,Goioxim,7053,35802,3292,58140,642081.28,0.027526125,0.016236544
4108700,Grandes Rios,5497,36885,1178,254950,709389.12,0.036089605,0.021185043
4108809,Guaíra,33310,5536,4400,320000,198195.2,0.082257621,0.047845371
4108908,Guairaçá,6609,43351,1605,491379,888102.52,0.0427117,0.025010369
4108957,Guamiranga,8811,6992,17560,26790,181146,0.0449449,0.02625591
4109005,Guapirama,3784,20646,680,1250000,707178.4,0.083885942,0.048795944
4109104,Guaporema,2241,11162,491,816362,422060.4,0.089589976,0.052090906
4109203,Guaraci,5530,23761,800,3200000,1307121.2,0.106982573,0.062138369
4109302,Guaraniaçu,12217,130600,57613,1659501,2886123.8,0.046508713,0.027195299
4109401,Guarapuava,182644,55692,38404,343740,1170897.76,0.039095855,0.022907097
4109500,Guaraqueçaba,7594,310,36,10000,8241.44,0.065602827,0.038232718
4109609,Guaratuba,37527,1689,310,7300,32037.2,0.032964566,0.019376047
4109658,Honório Serpa,5119,26736,4696,64093,492081.08,0.029620898,0.017444568
4109708,Ibaiti,31644,74340,12000,2400000,1987128,0.065693515,0.038284325
4109757,Ibema,6370,11254,502,1540000,626294.88,0.107381211,0.062368562
4109807,Ibiporã,55131,5251,3920,641500,281854,0.103365909,0.060042904
4109906,Icaraíma,7786,81968,1900,120100,1449253.6,0.026621944,0.01571601
4110003,Iguaraçu,4440,7351,390,2404932,801003.76,0.125820639,0.073020638
4110052,Iguatu,2253,7604,471,412735,247786.44,0.08057703,0.04688404
4110078,Imbaú,13282,3689,525,14750,69176.8,0.032114891,0.018886191
4110102,Imbituva,32940,8990,19850,599110,382722.8,0.085581944,0.049751856
4110201,Inácio Martins,11121,8976,3958,27642,174159.28,0.032810529,0.019280957
4110300,Inajá,3116,8794,167,2300,152408.48,0.024279473,0.014362933
4110409,Indianópolis,4465,9688,665,2001500,729075.2,0.117143062,0.068007652
4110508,Ipiranga,15251,10744,38304,895000,551840.96,0.09045888,0.052560912
4110607,Iporã,13782,46613,6800,2012689,1385968.52,0.073819028,0.04297873
4110656,Iracema do Oeste,2251,1211,4150,531653,182308.04,0.126641939,0.073484656
4110706,Irati,61088,11420,23760,121500,302674.4,0.050464974,0.029453326
4110805,Iretama,10098,49517,2307,1134000,1176225.68,0.056715558,0.033099924
4110904,Itaguajé,4446,11249,970,675000,385431.6,0.083593171,0.048626091
4110953,Itaipulândia,11385,5919,134951,1175000,841057.84,0.098148397,0.056960323
4111001,Itambaracá,6549,1986,1850,108000,70023.2,0.080511053,0.046834455
4111100,Itambé,6109,3460,1280,315100,151631.2,0.095710273,0.055623021
4111209,Itapejara d'Oeste,12094,9512,26706,3781112,1303504,0.125730952,0.072959469
4111258,Itaperuçu,29070,5050,1510,40000,102650.4,0.039318323,0.023044075
4111308,Itaúna do Sul,2781,12009,900,144305,249696.2,0.043852561,0.025668571
4111407,Ivaí,13965,15660,10910,56890,318447.6,0.03543179,0.020789788
4111506,Ivaiporã,31935,19821,2000,281900,425933.2,0.046891745,0.027423709
4111555,Ivaté,8240,20702,1720,124234,396088.72,0.034985054,0.020545721
4111605,Ivatuba,3279,242,860,5000,8176.8,0.062106545,0.036165846
4111704,Jaboti,5303,14335,13500,310000,374402,0.057828527,0.033726899
4111803,Jacarezinho,39322,42019,1200,1620000,1179974.8,0.0704663,0.041043775
4111902,Jaguapitã,13742,31853,890,3135457,1428505.16,0.098369029,0.057162567
4112009,Jaguariaíva,35027,27332,87762,316330,825479.28,0.054531516,0.031789434
4112108,Jandaia do Sul,21230,10154,1100,2160000,782792.8,0.117705628,0.068332399
4112207,Janiópolis,5095,17914,1200,8000,314008.8,0.025092081,0.014831078
4112306,Japira,4930,13551,4500,1750000,736757.2,0.105429585,0.06123868
4112405,Japurá,9500,3067,519,1572945,494754.76,0.131932491,0.076551016
4112504,Jardim Alegre,11196,26718,2613,698630,663109.52,0.060093088,0.0350501
4112603,Jardim Olinda,1320,5522,322,381970,202908.88,0.087900204,0.051114575
4112702,Jataizinho,12638,10498,343,308000,267848.32,0.06292288,0.036686035
4112751,Jesuítas,8330,9426,54138,2653453,1069673.56,0.116511673,0.06761966
4112801,Joaquim Távora,12009,37039,6254,2200000,1272082.96,0.083254459,0.048429304
4112900,Jundiaí do Sul,3269,36898,890,135000,675151.2,0.030606998,0.018018058
4112959,Juranda,7292,2912,1180,141020,93159.2,0.077221107,0.044940383
4113007,Jussara,7041,1204,244,1850500,539590.56,0.140345405,0.081411195
4113106,Kaloré,4047,7555,1050,150000,175138,0.053732919,0.031375052
4113205,Lapa,48410,35100,22600,1850000,1190424,0.079657312,0.046344752
4113254,Laranjal,5784,78000,5400,21000,1363896,0.024772308,0.01464629
4113304,Laranjeiras do Sul,32139,52500,36900,117000,1047936,0.033312511,0.019565096
4113403,Leópolis,3925,17190,1203,400000,411325.12,0.05716251,0.033357665
4113429,Lidianópolis,3231,9329,417,158000,205966.48,0.050023737,0.029234222
4113452,Lindoeste,4592,31751,5014,774500,778219.76,0.058529423,0.034145645
4113502,Loanda,23242,89959,2120,313563,1641537.24,0.030298397,0.017839801
4113601,Lobato,4819,10552,610,378800,289412.8,0.068470625,0.039890421
4113700,Londrina,575377,43785,2720,4730000,2085770.8,0.100961655,0.058659933
4113734,Luiziana,7240,31274,1237,7000,543633.28,0.024402863,0.014433659
4113759,Lunardelli,4744,12313,591,202270,270215.84,0.04941943,0.028885055
4113809,Lupionópolis,4945,8060,670,334500,234328.8,0.07263345,0.042294814
4113908,Mallet,13663,5982,6161,248293,191141.88,0.073210397,0.042614355
4114005,Mamborê,13014,10126,31526,357500,370106.24,0.070798319,0.04119619
4114104,Mandaguaçu,23100,6466,2250,3558066,1114313.68,0.132565971,0.076916506
4114203,Mandaguari,34515,28508,1521,2927828,1314753.28,0.099547136,0.057842875
4114302,Mandirituba,27315,2252,3075,6111000,1759162.4,0.142073075,0.082408614
4114351,Manfrinópolis,2506,23358,1800,793000,629269.6,0.066941573,0.039006779
4114401,Mangueirinha,16642,43428,14260,80478,812845.84,0.029905718,0.017605357
4114500,Manoel Ribas,13510,44718,18200,110000,855277.6,0.031542522,0.018549143
4114609,Marechal Cândido Rondon,53495,43618,474254,4102000,3340521.76,0.089280771,0.051846399
4114708,Maria Helena,5634,52840,1390,415500,1029413.6,0.037542403,0.022024428
4114807,Marialva,35804,10506,1986,620075,360361.64,0.083057116,0.048315026
4114906,Marilândia do Sul,8814,7416,1281,730214,335909.36,0.098189312,0.057057256
4115002,Marilena,7084,23205,1410,568929,562712.52,0.058404638,0.034075402
4115101,Mariluz,10336,16659,2000,221800,354718.8,0.045806709,0.026796474
4115200,Maringá,430157,5078,3553,566500,256762.72,0.100983068,0.058666438
4115309,Mariópolis,6632,7732,4220,367890,248828.4,0.076744493,0.044663047
4115358,Maripá,5582,8065,105700,2198000,1075486,0.109677318,0.063649343
4115408,Marmeleiro,14387,21367,13053,1060000,703993.52,0.077936717,0.045351021
4115457,Marquinho,4340,56400,3201,22500,986111.04,0.024904621,0.014723057
4115507,Marumbi,4677,13685,940,475000,371239.6,0.067543135,0.039354438
4115606,Matelândia,18107,30234,48180,3799980,1730486.4,0.102988042,0.059818101
4115705,Matinhos,35219,22,45,1500,935.2,0.08626219,0.050146568
4115739,Mato Rico,3206,29868,1712,47000,532094.08,0.027128907,0.016007976
4115754,Mauá da Serra,10800,2013,1950,67085,59335.4,0.067587211,0.039365706
4115804,Medianeira,46574,31204,101190,2321455,1494333.8,0.087847981,0.051053463
4115853,Mercedes,5577,11087,32940,1130000,607234,0.096037767,0.055790771
4115903,Mirador,2196,13685,800,314740,325941.2,0.056850808,0.033177824
4116000,Miraselva,1796,6191,175,597810,274404,0.097815346,0.056842713
4116059,Missal,10704,26145,96950,1663060,1210078.8,0.083841421,0.048733185
4116109,Moreira Sales,12042,27611,1706,623500,654675.44,0.056425353,0.032931979
4116208,Morretes,16446,1303,115,7000,24721.2,0.033999612,0.019976314
4116307,Munhoz de Melo,4009,10543,640,2450000,869285.2,0.119602339,0.069428388
4116406,Nossa Senhora das Graças,4008,11127,830,638000,372547.6,0.082226024,0.047836464
4116505,Nova Aliança do Ivaí,1551,12813,400,46765,234693.8,0.030648382,0.018041784
4116604,Nova América da Colina,3434,6164,400,80000,129636.8,0.045098478,0.026388544
4116703,Nova Aurora,10299,10584,47200,5684670,1917240.4,0.128614646,0.074623364
4116802,Nova Cantu,5061,39026,2186,244091,746238.12,0.035204399,0.020673091
4116901,Nova Esperança,27984,29510,3800,1010685,802115.8,0.067252103,0.039185285
4116950,Nova Esperança do Sudoeste,5030,31397,4130,1299500,916443.6,0.07258774,0.042267638
4117008,Nova Fátima,8136,12825,500,633200,399406,0.077734309,0.045242186
4117057,Nova Laranjeiras,11507,112000,24100,350817,2097892.76,0.031206576,0.018359659
4117107,Nova Londrina,13200,34930,1200,68778,623701.84,0.027657627,0.016314008
4117206,Nova Olímpia,5826,15973,570,306775,362365.4,0.052651811,0.030752596
4117214,Nova Santa Bárbara,4277,644,450,3000,13284.8,0.036971757,0.021679564
4117222,Nova Santa Rosa,8266,11297,281780,1860000,1571719.6,0.094051399,0.054584796
4117255,Nova Prata do Iguaçu,10544,34548,3580,2458341,1293444.28,0.088716554,0.051585605
4117271,Nova Tebas,5448,59639,4300,38000,1049502.8,0.025503629,0.015068688
4117297,Novo Itacolomi,2840,17555,680,1400000,696013.2,0.092186207,0.053590762
4117305,Ortigueira,21960,157512,9550,274336,2815052.48,0.027468802,0.016204242
4117404,Ourizona,3425,643,450,350000,110427.6,0.132110748,0.076652574
4117453,Ouro Verde do Oeste,6016,18770,98852,880000,869754.08,0.077155198,0.044855053
4117503,Paiçandu,41773,1188,377,140000,60779.68,0.1030001,0.059835192
4117602,Palmas,51755,27312,1323,80100,496216.32,0.029522974,0.017391218
4117701,Palmeira,33994,27191,27000,1250000,899765.2,0.075906458,0.044172833
4117800,Palmital,12960,110144,7247,78500,1938487.68,0.025589094,0.015118227
4117909,Palotina,32121,9402,90463,7423324,2515252.64,0.130060038,0.075453015
4118006,Paraíso do Norte,14023,6250,1045,3210,111575.6,0.02613818,0.015432784
4118105,Paranacity,11580,6509,640,170800,161724.4,0.060182726,0.035101873
4118204,Paranaguá,156174,787,525,8880,17618.8,0.045750439,0.026752664
4118303,Paranapoema,3241,11932,140,542,205807.76,0.023785604,0.014077833
4118402,Paranavaí,88922,126239,2550,1370122,2562696.96,0.041940294,0.02456513
4118451,Pato Bragado,5684,7232,85043,1194000,717241.12,0.1001993,0.05816467
4118501,Pato Branco,83843,21986,3333,1999136,948049.6,0.095922062,0.05574767
4118600,Paula Freitas,5908,6000,8350,27000,136144,0.040662034,0.023798482
4118709,Paulo Frontin,7387,4582,6323,37000,108392.32,0.045023733,0.026319513
4118808,Peabiru,14007,13282,1550,742700,441118.4,0.081460766,0.047393795
4118857,Perobal,6160,25737,1900,578000,610292.4,0.056330728,0.03287708
4118907,Pérola,11321,39828,1800,332200,783529.6,0.038394397,0.022516157
4119004,Pérola d'Oeste,6288,11709,3937,583793,376825.32,0.078054793,0.045423017
4119103,Piên,12882,1870,2500,220000,101364,0.101584705,0.059008921
4119152,Pinhais,133490,436,447,1820,9367.68,0.038231033,0.022400533
4119202,Pinhalão,6324,8585,13500,430000,309102,0.07827279,0.0455334
4119251,Pinhal de São Bento,2737,14441,1549,74508,273956.4,0.033787816,0.019853497
4119301,Pinhão,32559,60690,15473,95410,1117620.72,0.028818522,0.016979046
4119400,Piraí do Sul,25617,28206,157764,3975190,2077798.96,0.101469381,0.058918313
4119509,Piraquara,114970,2021,494,12812,39850.32,0.036609055,0.021480091
4119608,Pitanga,29994,84963,34050,72000,1585035.6,0.028746141,0.016933659
4119657,Pitangueiras,3262,1950,2380,738720,247616.8,0.126708757,0.073529409
4119707,Planaltina do Paraná,4272,40223,1925,164818,743836.64,0.031556637,0.018566043
4119806,Planalto,13431,32385,8943,692822,778198.88,0.055809742,0.032572201
4119905,Ponta Grossa,355336,27428,31066,1000000,846202.24,0.069975716,0.040743676
4119954,Pontal do Paraná,27915,69,11,2000,1780.24,0.062847796,0.036640368
4120002,Porecatu,12748,3919,760,122250,103947.2,0.064829461,0.03778459
4120101,Porto Amazonas,4874,4510,73,2100,78381.92,0.0246499,0.014576995
4120150,Porto Barreiro,3184,30300,1250,14550,529034,0.024915256,0.014729613
4120200,Porto Rico,2556,25827,730,239768,513578.64,0.039705784,0.023274118
4120309,Porto Vitória,4061,5800,5000,15000,119160,0.034933703,0.020498454
4120333,Prado Ferreira,3780,1844,190,326200,123630.4,0.113616153,0.065969965
4120358,Pranchita,5095,6665,6543,1443922,538826.88,0.116806262,0.067807837
4120408,Presidente Castelo Branco,5351,3844,560,890578,317181.04,0.119414512,0.069319404
4120507,Primeiro de Maio,11130,4764,926,1640000,543955.84,0.12645252,0.073385089
4120606,Prudentópolis,52513,74120,37180,171600,1435939.2,0.032009702,0.018816861
4120655,Quarto Centenário,4465,3814,480,982800,342244,0.121525676,0.070539133
4120705,Quatiguá,7477,18985,1755,895000,582477.2,0.076370125,0.044453312
4120804,Quatro Barras,23911,827,213,9100,17419.92,0.043415818,0.025412242
4120853,Quatro Pontes,4029,9127,155000,847500,865484.4,0.087071403,0.050552741
4120903,Quedas do Iguaçu,34409,53500,19845,1283013,1339772.44,0.058660579,0.034217494
4121000,Querência do Norte,12232,73833,7600,45900,1305883.6,0.025757813,0.015214717
4121109,Quinta do Sol,4508,5253,1500,685000,286711.6,0.105754482,0.061426774
4121208,Quitandinha,19221,3480,3900,500000,211712,0.10704217,0.062164463
4121257,Ramilândia,4476,26537,5300,549697,626463.56,0.054862481,0.032026413
4121307,Rancho Alegre,3784,518,1004,30000,20361.76,0.082019503,0.047695133
4121356,Rancho Alegre D'Oeste,2628,2574,290,471600,177202.4,0.114410559,0.066428824
4121406,Realeza,16950,28508,3042,1796188,1002517.92,0.085054776,0.049470176
4121505,Rebouças,14946,5100,15750,203100,192468,0.073272579,0.042627067
4121604,Renascença,6787,12030,2930,459925,344602.2,0.070425754,0.04101685
4121703,Reserva,26825,90754,4550,23290,1581322,0.024567278,0.014528356
4121752,Reserva do Iguaçu,8069,27222,2472,24990,482730.48,0.026205539,0.015473682
4121802,Ribeirão Claro,10645,69441,980,920000,1454964.4,0.045209619,0.026453876
4121901,Ribeirão do Pinhal,12948,22050,3210,155660,432603.2,0.037074502,0.021751295
4122008,Rio Azul,15336,6005,12553,108410,171801.92,0.057361629,0.033439868
4122107,Rio Bom,3182,15085,826,339680,357083.44,0.056338001,0.032881656
4122156,Rio Bonito do Iguaçu,13255,51000,17420,206390,987946,0.033660139,0.019774137
4122172,Rio Branco do Ivaí,4109,14429,901,26500,258337.84,0.027659241,0.016314209
4122206,Rio Branco do Sul,32517,19400,11500,62100,386028,0.034073898,0.020007464
4122305,Rio Negro,34411,3857,7200,1562000,525588.4,0.127009057,0.073700971
4122404,Rolândia,67383,5217,5580,2516942,811439.36,0.130280133,0.07559377
4122503,Roncador,9645,36003,7937,1900000,1175380.08,0.079720737,0.046387115
4122602,Rondon,9622,29933,972,1398000,909242.48,0.076076741,0.044284742
4122651,Rosário do Ivaí,4689,49014,1165,90000,871782.4,0.027319185,0.016118775
4122701,Sabáudia,6891,7171,4104,1998402,695369.92,0.122359694,0.071018816
4122800,Salgado Filho,3483,22395,20300,695000,641506,0.065775098,0.038319471
4122909,Salto do Itararé,4898,21637,2400,160000,424252.4,0.037366509,0.021920804
4123006,Salto do Lontra,14872,32109,8960,5220635,2041291,0.111340913,0.064654289
4123105,Santa Amélia,3266,1999,473,40000,47020.72,0.054220992,0.031655095
4123204,Santa Cecília do Pavão,3293,3400,400,94840,86251.2,0.061776109,0.036022007
4123303,Santa Cruz de Monte Castelo,7751,49008,2160,443603,973712.84,0.039456287,0.023129618
4123402,Santa Fé,12186,19787,1650,1553000,780192.4,0.09166605,0.053289749
4123501,Santa Helena,26767,33273,167820,4695300,2397152.4,0.102020976,0.059239724
4123600,Santa Inês,1594,5534,400,361000,197480.8,0.0861216,0.050086921
4123709,Santa Isabel do Ivaí,8523,41120,3100,182479,767782.12,0.032348402,0.019022745
4123808,Santa Izabel do Oeste,14794,27913,11387,5336199,2008855.8,0.114918805,0.066720536
4123824,Santa Lúcia,3793,11021,1075,1063744,490677.52,0.097714036,0.056783462
4123857,Santa Maria do Oeste,9410,45919,2792,23500,804874.48,0.025159241,0.014870039
4123907,Santa Mariana,11622,3138,907,6000,58410.88,0.029692515,0.017483139
4123956,Santa Mônica,4017,19433,1262,161802,383388.64,0.038495659,0.022574188
4124004,Santana do Itararé,4954,18600,2743,14016,332183.2,0.026408202,0.015589287
4124020,Santa Tereza do Oeste,10096,8273,4731,1100000,464677.84,0.105842202,0.061475131
4124053,Santa Terezinha de Itaipu,23699,4700,2715,265000,163293.6,0.081600102,0.047468149
4124103,Santo Antônio da Platina,46251,73124,3100,1050000,1561156.8,0.046800546,0.027372294
4124202,Santo Antônio do Caiuá,2626,25184,365,116477,466887.96,0.032201551,0.018939437
4124301,Santo Antônio do Paraíso,2068,3364,650,13000,63476.8,0.032274885,0.018977374
4124400,Santo Antônio do Sudoeste,20261,23857,2587,2988157,1254888.84,0.104949962,0.060963509
4124509,Santo Inácio,5416,16638,720,493000,426402.4,0.063205301,0.03684899
4124608,São Carlos do Ivaí,6920,4102,255,2510,72032.4,0.025363424,0.014987956
4124707,São Jerônimo da Serra,11128,38131,3700,35000,676901.2,0.026261596,0.015505903
4124806,São João,10181,24732,2486,2127478,1028641.68,0.09436086,0.054846322
4124905,São João do Caiuá,5837,36672,410,193766,686259.28,0.0332891,0.019567769
4125001,São João do Ivaí,10056,11758,1728,359110,308041.52,0.064192523,0.037417445
4125100,São João do Triunfo,15241,4151,5918,30000,97787.92,0.044215609,0.025851661
4125209,São Jorge d'Oeste,9028,40961,6000,612000,894129.2,0.04800098,0.02806354
4125308,São Jorge do Ivaí,5543,1445,485,2675800,775552.4,0.141080051,0.081835498
4125357,São Jorge do Patrocínio,5586,32694,1770,585979,731791.72,0.05123442,0.029933414
4125407,São José da Boa Vista,6160,21500,3600,156000,424424,0.037516597,0.022006183
4125456,São José das Palmeiras,3627,24679,19875,300000,568898.8,0.047409807,0.027708829
4125506,São José dos Pinhais,329058,8268,1942,362000,249473.28,0.074265378,0.043235227
4125555,São Manoel do Paraná,2163,3360,450,279000,137280,0.093284528,0.054224153
4125605,São Mateus do Sul,46705,13679,6000,127732,289283.76,0.042099349,0.024647772
4125704,São Miguel do Iguaçu,27576,21615,100210,4192000,1850176.4,0.109798208,0.063739823
4125753,São Pedro do Iguaçu,5820,18123,65341,290630,591728.64,0.058896421,0.034308993
4125803,São Pedro do Ivaí,11046,9275,1656,284500,244224.24,0.064360159,0.037513736
4125902,São Pedro do Paraná,2289,31795,990,202381,606550.28,0.035209193,0.020676467
4126009,São Sebastião da Amoreira,8859,2573,250,60000,61815.6,0.057288594,0.033429976
4126108,São Tomé,5750,6547,829,1700180,591178.96,0.121671226,0.070623213
4126207,Sapopema,6722,58754,2612,8600,1020917.28,0.024299051,0.014373558
4126256,Sarandi,97803,878,341,352200,114754.24,0.128511094,0.074573674
4126272,Saudade do Iguaçu,5539,16090,3500,899477,539241.56,0.081430325,0.047374817
4126306,Sengés,19385,23792,5463,21334,431803.44,0.027393916,0.01615665
4126355,Serranópolis do Iguaçu,4477,6717,69500,1859790,847553.6,0.112057908,0.06503216
4126405,Sertaneja,5216,2000,2400,60000,58496,0.0653936,0.038094699
4126504,Sertanópolis,16413,11059,3817,1450820,608048.08,0.105824092,0.061466497
4126603,Siqueira Campos,21249,38552,6920,2300000,1328131.2,0.083382574,0.048503175
4126652,Sulina,2930,19060,10620,1623674,814745.52,0.093584881,0.054393093
4126678,Tamarana,15040,16683,1094,1057441,586356.84,0.085257081,0.049587589
4126702,Tamboara,5158,13029,495,361260,326756.4,0.061454689,0.035837793
4126801,Tapejara,16345,42671,1920,1108780,1050236.4,0.059811275,0.034888294
4126900,Tapira,5495,52195,1200,636828,1079713.84,0.043837108,0.02566081
4127007,Teixeira Soares,12567,12720,23545,725061,493377.88,0.081624206,0.047467523
4127106,Telêmaco Borba,79792,1365,445,6400,26622.8,0.034576919,0.020304163
4127205,Terra Boa,17200,5951,1450,5765080,1720987.6,0.137703274,0.079884729
4127304,Terra Rica,16924,63090,3100,709398,1293203.44,0.042650074,0.024974493
4127403,Terra Roxa,17522,19176,6736,1120430,664025.04,0.082702203,0.048107835
4127502,Tibagi,20607,38512,73210,524000,1031684.8,0.052818121,0.030816199
4127601,Tijucas do Sul,17084,5777,1602,54100,119382.48,0.041261183,0.024167013
4127700,Toledo,142645,44750,1172400,8717350,6774654,0.096518978,0.056013157
