,name_muni_IBGE,Population,Bovino (bovines),Suíno (pigs) - total,Galináceos (chicken) - total,Manure generated (kg/day),Municipality-specific biogas yield (m3/kg manure),Municipality-specific CH4 yield (m3 CH4/kg manure)
4398,Florianópolis,508826,5495,130,3079,95771.32,0.024903973,0.014723566
4399,Formosa do Sul,2495,14545,5981,484560,404033.04,0.066882037,0.038966798
4400,Forquilhinha,27211,7767,14680,365747,280628.76,0.076739865,0.044643832
4401,Fraiburgo,36584,17700,47102,245000,516230.08,0.055101393,0.03212569
4402,Frei Rogério,1970,6562,1587,8235,119996.68,0.028144551,0.016590002
4403,Galvão,2791,11072,3564,235274,267149.68,0.05579436,0.03256245
4404,Garopaba,23579,4782,55,1177,82747.16,0.024177351,0.014304142
4405,Garuva,18484,3766,387,27275,73588.68,0.037078532,0.021754634
4406,Gaspar,70793,12402,1073,79345,238792.92,0.035644154,0.020926393
4407,Governador Celso Ramos,14606,4238,160,416,73496.48,0.024140743,0.014282287
4408,Grão-Pará,6595,26280,81564,345322,796660.72,0.055578641,0.03239617
4409,Gravatal,11577,24009,244,8399,416048.28,0.024367086,0.014413782
4410,Guabiruba,24382,1995,246,71280,55020.24,0.0684151,0.039857239
4411,Guaraciaba,10026,41212,79244,886202,1197884.72,0.059898453,0.034908554
4412,Guaramirim,45797,5900,180,30000,110427.2,0.033099715,0.019457883
4413,Guarujá do Sul,5178,10899,8296,16381,217269.32,0.032579515,0.019140275
4414,Guatambú,4698,14842,17414,456904,436154.08,0.065951824,0.038417685
4415,Herval d'Oeste,22714,13255,32600,1225400,670202,0.093988074,0.054609345
4416,Ibiam,1954,8100,35840,595000,414873.6,0.086933356,0.050516374
4417,Ibicaré,3178,11276,37050,1146700,627655.2,0.095688845,0.055586971
4418,Ibirama,19096,4700,4000,12500,96500,0.034972124,0.020520887
4419,Içara,57247,16620,461,210778,346283.28,0.044516369,0.026053097
4420,Ilhota,14359,12852,497,21556,228600.96,0.027156088,0.016024166
4421,Imaruí,9948,24459,531,73000,442749.04,0.02939349,0.017317105
4422,Imbituba,45286,4872,1256,29727,95940.2,0.036329638,0.021318354
4423,Imbuia,6241,7600,5600,22000,153904,0.034575268,0.020294005
4424,Indaial,70900,6515,1046,44880,127804.24,0.036908603,0.021655102
4425,Iomerê,2962,10220,155000,890000,896184,0.086510083,0.050231353
4426,Ipira,4406,14760,17915,860740,549340.8,0.082388323,0.047916002
4427,Iporã do Oeste,9045,27338,155000,1334120,1314967.2,0.077960667,0.045318375
4428,Ipuaçu,7579,9390,14852,777463,424347.72,0.091816699,0.053361387
4429,Ipumirim,7620,19790,83400,2972480,1426218.4,0.104347332,0.060588989
4430,Iraceminha,3938,21986,30553,910728,726044.16,0.073351168,0.042691066
4431,Irani,10498,18058,89123,448166,707018,0.066386135,0.038628272
4432,Irati,1909,9442,2172,124974,203998,0.046219798,0.02703276
4433,Irineópolis,11289,12140,3610,36200,229918.4,0.031583793,0.018575595
4434,Itá,6129,15951,93900,1460300,968697.2,0.091204783,0.05297892
4435,Itaiópolis,21780,28025,20814,1366840,928019.76,0.077474219,0.04508203
4436,Itajaí,223112,12338,328,445605,337980.12,0.068604938,0.039968542
4437,Itapema,67338,1423,185,1748,25527.44,0.027132221,0.016008005
4438,Itapiranga,17007,40183,175766,2413813,1901343.88,0.082351532,0.047866752
4439,Itapoá,21177,856,116,9529,17743.96,0.042955258,0.025148852
4440,Ituporanga,25355,14780,40000,42000,387576,0.044655871,0.026086013
4441,Jaborá,3918,14706,109500,1185450,917749.2,0.087632587,0.050904892
4442,Jacinto Machado,10376,11345,4050,165723,253848.44,0.04848237,0.0283373
4443,Jaguaruna,20288,17782,12836,167479,391765.96,0.043647002,0.02553618
4444,Jaraguá do Sul,181173,7300,2400,115000,165056,0.049737568,0.029063053
4445,Jardinópolis,1546,9029,14547,362022,300887.84,0.07266495,0.042291725
4446,Joaçaba,30404,15244,48250,2285600,1048844.8,0.105477992,0.061247976
4447,Joinville,597658,14774,1658,455000,386553.12,0.064354052,0.037511374
4448,José Boiteux,5007,3360,3500,14700,72548,0.038603512,0.022615457
4449,Jupiá,2092,11583,2234,281374,284803.68,0.058518363,0.0341386
4450,Lacerdópolis,2247,8997,41050,1289600,640628.4,0.102870275,0.059733115
4451,Lages,157349,89000,2600,256000,1610384,0.029262327,0.017241142
4452,Laguna,46122,14247,195,97569,272960.52,0.035863969,0.021055143
4453,Lajeado Grande,1418,6400,18382,325589,257126.2,0.078710342,0.045773145
4454,Laurentino,7063,6300,3600,5000,120704,0.030015542,0.017663052
4455,Lauro Müller,15313,14621,20000,1600000,760281.2,0.099618769,0.057872488
4456,Lebon Régis,12115,23300,2650,20000,414416,0.02630078,0.015528104
4457,Leoberto Leal,3000,8400,2000,24000,157280,0.030915768,0.018191093
4458,Lindóia do Sul,4546,19335,99715,810600,862663.6,0.075026797,0.043624632
4459,Lontras,12315,6900,4300,28000,139592,0.035595965,0.020886244
4460,Luiz Alves,13107,8418,514,148858,188032.4,0.050978373,0.029785356
4461,Luzerna,5684,8502,19100,1032100,493286.4,0.101295365,0.0588352
4462,Macieira,1766,6100,27200,96000,214488,0.060174928,0.035039881
4463,Mafra,56561,28800,28200,3497785,1560467.8,0.102893377,0.059767987
4464,Major Gercino,3454,5136,579,45520,102844.96,0.039589697,0.023205089
4465,Major Vieira,8156,13538,22654,258201,374018.04,0.057274744,0.033395526
4466,Maracajá,7378,7029,155,69074,140710.72,0.040469736,0.023715581
4467,Maravilha,26116,13721,12800,850000,512913.2,0.084172304,0.048950139
4468,Marema,1750,16396,32607,658250,565446.48,0.072906097,0.042426668
4469,Massaranduba,17125,4500,800,260000,152632,0.082424446,0.047949677
4470,Matos Costa,2480,7126,11359,12179,160508.68,0.038085737,0.022305814
4471,Meleiro,7001,5391,510,758505,306657,0.108021706,0.062738154
4472,Mirim Doce,2283,6985,13587,33612,170857.84,0.04367232,0.025528926
4473,Modelo,4218,8738,20000,556946,367038.48,0.084391519,0.049062953
4474,Mondaí,11889,23247,54958,1145770,887736.32,0.077926337,0.045324732
4475,Monte Carlo,9906,4985,2650,26000,101078,0.03675051,0.021555338
4476,Monte Castelo,8269,11650,5030,241500,283291.2,0.055578524,0.032435702
4477,Morro da Fumaça,17947,7536,252,55290,145866.48,0.036769545,0.021577793
4478,Morro Grande,2888,3537,515,434900,184174,0.104398052,0.060644343
4479,Navegantes,83626,7771,85,20589,139684.52,0.028699108,0.016916257
4480,Nova Erechim,5092,9368,30447,837794,488270.8,0.092468579,0.053725158
4481,Nova Itaberaba,4329,17553,29339,832893,624312.2,0.076891542,0.044733939
4482,Nova Trento,14782,2796,1435,13847,56330.76,0.036237095,0.021259101
4483,Nova Veneza,15342,10153,4976,614707,361876.6,0.083695406,0.048679892
4484,Novo Horizonte,2404,13776,11768,228427,336681.48,0.052554957,0.030681026
4485,Orleans,23038,31232,50582,2000000,1250959.68,0.084792079,0.049300923
4486,Otacílio Costa,18975,18000,2600,9000,320024,0.025907019,0.015299831
4487,Ouro,7272,25023,52400,3402500,1542391.6,0.104364211,0.060610206
4488,Ouro Verde,2207,6997,2432,249919,197719,0.068661896,0.039996143
4489,Paial,1474,6755,17709,360132,270858.32,0.079836072,0.046426306
4490,Painel,2356,32500,1400,6000,564936,0.024360267,0.014408958
4491,Palhoça,175272,7879,292,188577,189208.04,0.057753124,0.033699492
4492,Palma Sola,7372,22117,27985,174555,514362.2,0.044294377,0.025900023
4493,Palmeira,2650,11250,860,9000,198634.4,0.025852469,0.015270094
4494,Palmitos,16157,53036,135000,2158700,1927055.2,0.073499018,0.042763385
4495,Papanduva,19422,24070,76363,228457,710115.48,0.052644791,0.030698957
4496,Paraíso,3360,22621,5215,261448,478140.24,0.044023949,0.025764159
4497,Passo de Torres,9048,3461,90,25633,66980.04,0.036829084,0.021612367
4498,Passos Maia,4109,22486,53932,341777,646410.04,0.055627766,0.032433415
4499,Paulo Lopes,7569,10694,129,26065,191627.16,0.028322895,0.016698899
4500,Pedras Grandes,3953,9221,8999,513394,329708.48,0.081160815,0.047209394
4501,Penha,33284,3791,65,1645,65863.4,0.024597471,0.014546682
4502,Peritiba,2760,9004,21933,218231,282649.8,0.062925007,0.036651552
4503,Pescaria Brava,10159,7253,25,4857,126187.56,0.024924414,0.014735917
4504,Petrolândia,5905,14100,25000,50000,332520,0.041364008,0.024197511
4505,Balneário Piçarras,23772,5287,31,7827,93222.2,0.026494199,0.015642674
4506,Pinhalzinho,20712,15650,50886,945136,688511.52,0.082739948,0.048099802
4507,Pinheiro Preto,3596,4339,48180,200000,277098,0.077432559,0.044987098
4508,Piratuba,3745,14131,4217,1121654,569936,0.09179074,0.053359306
4509,Planalto Alegre,2888,7663,2300,650900,321047.6,0.093771908,0.054503881
4510,Pomerode,34010,8311,5191,82537,181840.2,0.043834781,0.025646628
4511,Ponte Alta,4650,15100,1042,328500,354867.68,0.055573122,0.032439515
4512,Ponte Alta do Norte,3420,4080,275,1250,71362,0.024826616,0.014677711
4513,Ponte Serrada,11634,11700,38600,410115,433416.2,0.070781499,0.041184659
4514,Porto Belo,21932,3870,196,638,67338.48,0.024394136,0.014428321
4515,Porto União,35543,19835,14000,20959,389590.52,0.031465956,0.018498056
4516,Pouso Redondo,17712,22475,54100,68500,570214,0.043652969,0.025510563
4517,Praia Grande,7312,7659,460,6920,135070.8,0.025898342,0.015297026
4518,Presidente Castello Branco,1547,6980,59700,314700,389660,0.076872842,0.044673435
4519,Presidente Getúlio,17726,17900,66500,24500,516900,0.046868381,0.02735221
4520,Presidente Nereu,2283,6550,6600,14000,136644,0.035204824,0.020652106
